-BEGIN HEADER-
NASA/POWER Source Native Resolution Hourly Data 
Dates (month/day/year): 01/01/2014 through 12/31/2024 in LST
Location: Latitude  56.269   Longitude 9.148 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 36.83 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
WD50M     MERRA-2 Wind Direction at 50 Meters (Degrees) 
WS50M     MERRA-2 Wind Speed at 50 Meters (m/s) 
PS        MERRA-2 Surface Pressure (kPa) 
T2M       MERRA-2 Temperature at 2 Meters (C) 
QV2M      MERRA-2 Specific Humidity at 2 Meters (g/kg) 
-END HEADER-
YEAR,MO,DY,HR,WD50M,WS50M,PS,T2M,QV2M
2014,1,5,1,139.6,6.9,99.31,3.38,4.77
2014,1,5,2,132.8,6.13,99.28,3.3,4.75
2014,1,5,3,125.0,5.68,99.25,3.19,4.73
2014,1,5,4,128.2,6.07,99.24,3.25,4.73
2014,1,5,5,135.3,6.44,99.25,3.21,4.73
2014,1,5,6,136.2,6.83,99.24,3.09,4.69
2014,1,5,7,135.4,7.04,99.24,3.07,4.68
2014,1,5,8,134.7,7.0,99.26,3.02,4.67
2014,1,5,9,137.2,6.98,99.29,3.16,4.7
2014,1,5,10,140.4,6.36,99.33,3.44,4.77
2014,1,5,11,148.6,5.88,99.34,3.71,4.85
2014,1,5,12,169.8,5.31,99.35,3.94,4.92
2014,1,5,13,200.0,4.95,99.38,4.1,4.97
2014,1,5,14,229.1,5.77,99.46,4.32,5.03
2014,1,5,15,241.8,7.16,99.58,4.29,5.02
2014,1,5,16,246.4,8.09,99.63,3.94,4.93
2014,1,5,17,239.1,8.32,99.7,2.69,4.65
2014,1,5,18,233.1,8.44,99.77,2.1,4.43
2014,1,5,19,226.2,8.3,99.81,1.58,4.26
2014,1,5,20,221.0,8.37,99.84,1.69,4.23
2014,1,5,21,215.2,8.2,99.86,1.81,4.25
2014,1,5,22,211.4,8.35,99.91,1.81,4.25
2014,1,5,23,206.7,8.4,99.93,1.54,4.21
2014,1,6,0,193.1,8.13,99.88,1.28,4.2
2014,1,6,1,178.2,8.38,99.84,1.44,4.27
2014,1,6,2,172.4,8.44,99.83,2.11,4.39
2014,1,6,3,162.5,9.16,99.69,2.33,4.43
2014,1,6,4,157.4,9.97,99.57,2.56,4.47
2014,1,6,5,149.2,11.18,99.4,2.34,4.4
2014,1,6,6,153.3,12.07,99.31,2.02,4.31
2014,1,6,7,161.6,12.05,99.33,1.48,4.14
2014,1,6,8,168.6,12.3,99.3,1.39,4.08
2014,1,6,9,179.7,11.62,99.32,1.12,4.02
2014,1,6,10,180.7,10.8,99.27,1.25,4.06
2014,1,6,11,189.0,10.66,99.23,2.32,4.36
2014,1,6,12,194.2,11.0,99.18,3.68,4.84
2014,1,6,13,199.7,11.15,99.15,5.1,5.37
2014,1,6,14,205.4,11.44,99.15,6.17,5.8
2014,1,6,15,205.7,12.16,99.15,6.57,6.0
2014,1,6,16,205.8,11.87,99.17,6.43,5.97
2014,1,6,17,204.9,11.99,99.21,6.38,5.95
2014,1,6,18,204.6,11.88,99.24,6.52,5.98
2014,1,6,19,203.5,12.02,99.26,6.72,6.04
2014,1,6,20,201.9,12.37,99.29,6.93,6.12
2014,1,6,21,204.1,12.91,99.32,7.16,6.2
2014,1,6,22,207.4,12.92,99.31,7.3,6.23
2014,1,6,23,208.7,12.25,99.29,7.21,6.21
2014,1,7,0,206.8,11.54,99.29,6.93,6.13
2014,1,7,1,198.9,10.79,99.3,6.5,6.0
2014,1,7,2,203.8,11.15,99.29,6.69,6.04
2014,1,7,3,213.2,11.79,99.29,7.22,6.2
2014,1,7,4,215.3,11.34,99.27,7.28,6.21
2014,1,7,5,214.4,11.22,99.29,7.2,6.18
2014,1,7,6,216.1,11.55,99.34,7.29,6.19
2014,1,7,7,219.3,12.48,99.42,7.46,6.2
2014,1,7,8,222.5,13.53,99.51,7.57,6.16
2014,1,7,9,224.5,13.3,99.59,7.66,6.12
2014,1,7,10,223.6,13.23,99.65,7.85,6.14
2014,1,7,11,222.8,13.27,99.69,8.07,6.21
2014,1,7,12,222.7,13.48,99.7,8.29,6.25
2014,1,7,13,221.7,13.59,99.71,8.24,6.22
2014,1,7,14,220.1,13.73,99.71,7.91,6.2
2014,1,7,15,218.2,13.57,99.71,7.56,6.13
2014,1,7,16,215.1,12.75,99.69,7.1,5.98
2014,1,7,17,210.3,12.27,99.65,6.87,5.95
2014,1,7,18,210.7,12.82,99.64,7.2,6.07
2014,1,7,19,215.4,13.55,99.65,7.38,6.11
2014,1,7,20,220.3,13.84,99.67,7.37,6.07
2014,1,7,21,224.0,13.47,99.72,7.28,6.04
2014,1,7,22,226.4,13.04,99.76,7.22,6.02
2014,1,7,23,227.9,12.51,99.8,7.15,5.97
2014,1,8,0,227.5,12.29,99.81,6.91,5.87
2014,1,8,1,226.3,12.33,99.81,6.84,5.84
2014,1,8,2,225.6,12.3,99.81,7.09,5.97
2014,1,8,3,228.3,12.59,99.81,7.32,6.04
2014,1,8,4,230.6,12.6,99.81,7.2,5.97
2014,1,8,5,231.1,12.16,99.82,6.96,5.89
2014,1,8,6,230.9,11.72,99.84,6.79,5.87
2014,1,8,7,230.6,11.37,99.86,6.67,5.87
2014,1,8,8,231.4,11.16,99.88,6.59,5.85
2014,1,8,9,231.7,11.02,99.93,6.6,5.85
2014,1,8,10,233.2,10.69,99.96,6.92,5.94
2014,1,8,11,236.6,10.84,99.99,7.35,6.05
2014,1,8,12,239.8,11.21,100.02,7.64,6.08
2014,1,8,13,241.5,11.28,100.04,7.66,6.04
2014,1,8,14,243.0,11.53,100.06,7.43,5.91
2014,1,8,15,244.2,11.37,100.08,7.15,5.8
2014,1,8,16,241.9,10.53,100.09,6.98,5.83
2014,1,8,17,245.7,11.02,100.1,6.9,5.81
2014,1,8,18,249.8,11.34,100.14,6.86,5.75
2014,1,8,19,253.8,11.49,100.19,6.77,5.66
2014,1,8,20,256.4,11.12,100.21,6.65,5.58
2014,1,8,21,254.0,10.37,100.23,6.52,5.56
2014,1,8,22,249.8,10.04,100.27,6.35,5.56
2014,1,8,23,248.6,9.96,100.28,6.34,5.57
2014,1,9,0,245.4,9.66,100.27,6.28,5.55
2014,1,9,1,243.1,9.14,100.26,6.2,5.49
2014,1,9,2,241.5,8.59,100.22,6.02,5.41
2014,1,9,3,235.2,8.07,100.18,5.73,5.32
2014,1,9,4,219.4,7.48,100.09,5.39,5.31
2014,1,9,5,208.8,7.65,100.02,5.03,5.3
2014,1,9,6,195.9,6.47,99.93,4.85,5.28
2014,1,9,7,175.6,5.82,99.81,4.64,5.17
2014,1,9,8,149.6,6.23,99.65,4.42,5.05
2014,1,9,9,131.8,7.58,99.45,3.85,4.85
2014,1,9,10,124.4,9.04,99.21,2.74,4.57
2014,1,9,11,127.0,9.25,98.95,2.36,4.41
2014,1,9,12,142.5,7.93,98.66,2.94,4.65
2014,1,9,13,171.4,7.63,98.42,4.76,5.29
2014,1,9,14,196.5,9.5,98.19,6.21,5.86
2014,1,9,15,213.4,13.3,98.02,7.12,6.1
2014,1,9,16,218.9,12.81,97.9,6.47,5.88
2014,1,9,17,222.9,11.75,97.81,5.74,5.59
2014,1,9,18,237.3,9.02,97.77,5.05,5.35
2014,1,9,19,277.2,8.36,97.82,4.65,5.26
2014,1,9,20,310.9,11.78,98.03,4.03,4.99
2014,1,9,21,317.3,13.64,98.33,3.46,4.72
2014,1,9,22,309.4,13.17,98.6,3.69,4.8
2014,1,9,23,299.5,12.32,98.76,4.31,5.01
2014,1,10,0,292.5,11.72,98.87,4.6,5.12
2014,1,10,1,287.1,11.13,98.97,4.54,5.13
2014,1,10,2,282.3,10.47,99.04,4.35,5.1
2014,1,10,3,277.9,10.08,99.11,4.19,5.06
2014,1,10,4,274.2,9.75,99.16,4.14,5.06
2014,1,10,5,273.5,9.54,99.2,4.37,5.11
2014,1,10,6,270.5,8.84,99.26,4.3,5.1
2014,1,10,7,270.5,8.67,99.32,4.25,5.09
2014,1,10,8,273.4,9.06,99.4,4.3,5.09
2014,1,10,9,273.8,8.78,99.49,4.45,5.12
2014,1,10,10,274.2,8.56,99.56,4.92,5.23
2014,1,10,11,275.2,8.68,99.64,5.47,5.36
2014,1,10,12,278.1,9.53,99.7,5.92,5.39
2014,1,10,13,280.1,9.94,99.74,5.91,5.33
2014,1,10,14,278.6,9.72,99.8,5.68,5.29
2014,1,10,15,274.7,9.63,99.86,5.45,5.26
2014,1,10,16,270.2,9.73,99.9,5.35,5.25
2014,1,10,17,265.8,9.99,99.93,5.25,5.24
2014,1,10,18,263.0,10.31,99.96,5.1,5.19
2014,1,10,19,259.1,9.65,100.0,4.85,5.15
2014,1,10,20,258.4,10.03,100.04,4.74,5.11
2014,1,10,21,258.6,10.23,100.05,4.72,5.08
2014,1,10,22,255.4,9.68,100.07,4.53,5.05
2014,1,10,23,254.1,9.85,100.08,4.56,5.06
2014,1,11,0,253.4,9.85,100.08,4.77,5.15
2014,1,11,1,251.7,9.88,100.06,5.25,5.32
2014,1,11,2,243.0,9.2,100.04,5.25,5.39
2014,1,11,3,235.1,9.21,100.0,5.3,5.41
2014,1,11,4,227.9,9.06,99.96,5.45,5.46
2014,1,11,5,224.3,9.41,99.88,5.68,5.55
2014,1,11,6,224.6,10.05,99.83,5.89,5.62
2014,1,11,7,226.8,10.23,99.8,6.01,5.66
2014,1,11,8,230.3,9.86,99.79,6.0,5.66
2014,1,11,9,239.7,8.68,99.77,5.88,5.61
2014,1,11,10,260.6,7.35,99.78,5.71,5.51
2014,1,11,11,280.6,6.84,99.8,5.6,5.34
2014,1,11,12,290.7,6.57,99.8,5.64,5.19
2014,1,11,13,289.1,6.92,99.79,5.69,5.07
2014,1,11,14,286.8,8.6,99.8,5.14,4.81
2014,1,11,15,283.5,9.92,99.83,4.22,4.57
2014,1,11,16,279.6,10.03,99.86,3.65,4.49
2014,1,11,17,278.4,10.08,99.88,3.58,4.47
2014,1,11,18,281.5,10.97,99.91,3.66,4.42
2014,1,11,19,282.4,11.21,99.96,3.57,4.33
2014,1,11,20,283.3,11.49,100.02,3.45,4.31
2014,1,11,21,285.2,11.59,100.09,3.44,4.34
2014,1,11,22,287.4,12.01,100.16,3.42,4.35
2014,1,11,23,288.7,12.65,100.23,3.56,4.35
2014,1,12,0,289.0,13.52,100.29,3.79,4.33
2014,1,12,1,288.5,14.4,100.34,4.01,4.31
2014,1,12,2,287.9,14.86,100.4,4.19,4.4
2014,1,12,3,286.9,14.69,100.45,4.3,4.41
2014,1,12,4,285.2,14.44,100.49,4.04,4.23
2014,1,12,5,282.1,14.59,100.54,3.8,4.13
2014,1,12,6,281.1,15.15,100.56,3.91,4.12
2014,1,12,7,285.8,15.84,100.59,4.22,4.13
2014,1,12,8,293.4,15.55,100.65,4.16,4.13
2014,1,12,9,299.8,14.02,100.74,3.95,4.11
2014,1,12,10,303.4,12.26,100.84,4.05,4.12
2014,1,12,11,306.7,11.13,100.92,4.21,4.08
2014,1,12,12,309.9,10.5,100.99,4.13,4.01
2014,1,12,13,312.2,9.98,101.03,3.75,3.91
2014,1,12,14,314.4,9.46,101.08,3.07,3.8
2014,1,12,15,319.1,8.63,101.09,1.86,3.65
2014,1,12,16,325.5,7.91,101.11,0.3,3.45
2014,1,12,17,335.7,7.0,101.12,-0.81,3.23
2014,1,12,18,353.0,5.74,101.12,-1.88,2.99
2014,1,12,19,18.2,4.57,101.14,-2.73,2.78
2014,1,12,20,49.4,4.24,101.18,-3.36,2.62
2014,1,12,21,74.1,4.97,101.19,-3.62,2.57
2014,1,12,22,87.0,5.6,101.19,-3.09,2.6
2014,1,12,23,92.2,5.83,101.18,-2.69,2.6
2014,1,13,0,93.4,6.03,101.15,-2.63,2.57
2014,1,13,1,95.0,6.32,101.11,-2.69,2.56
2014,1,13,2,98.8,6.71,101.06,-2.73,2.57
2014,1,13,3,102.5,7.07,101.01,-2.73,2.59
2014,1,13,4,104.3,7.54,100.97,-2.68,2.61
2014,1,13,5,105.0,8.25,100.88,-2.63,2.62
2014,1,13,6,106.3,8.97,100.75,-2.44,2.65
2014,1,13,7,108.5,9.32,100.65,-2.2,2.69
2014,1,13,8,111.5,9.51,100.59,-2.01,2.74
2014,1,13,9,114.4,9.9,100.53,-1.84,2.78
2014,1,13,10,115.1,10.62,100.45,-1.62,2.84
2014,1,13,11,117.0,11.65,100.36,-1.36,2.89
2014,1,13,12,117.3,11.59,100.26,-1.01,3.07
2014,1,13,13,121.1,12.09,100.15,-0.55,3.25
2014,1,13,14,129.0,11.64,100.06,-0.07,3.42
2014,1,13,15,133.3,9.81,100.0,-0.01,3.56
2014,1,13,16,141.6,8.78,99.94,0.07,3.66
2014,1,13,17,153.8,7.07,99.92,0.21,3.81
2014,1,13,18,177.1,5.86,99.92,0.46,3.98
2014,1,13,19,206.2,6.37,99.95,0.97,4.18
2014,1,13,20,226.6,7.57,99.99,1.52,4.35
2014,1,13,21,235.6,8.24,100.05,1.88,4.42
2014,1,13,22,239.9,8.49,100.11,1.89,4.42
2014,1,13,23,241.2,8.17,100.14,1.88,4.42
2014,1,14,0,240.4,7.3,100.16,1.69,4.42
2014,1,14,1,238.4,6.12,100.16,1.35,4.39
2014,1,14,2,232.8,4.95,100.17,0.91,4.33
2014,1,14,3,221.9,4.15,100.18,0.79,4.31
2014,1,14,4,208.3,3.6,100.2,1.02,4.33
2014,1,14,5,192.3,3.06,100.23,1.44,4.35
2014,1,14,6,171.5,2.71,100.27,1.41,4.24
2014,1,14,7,151.3,2.7,100.31,0.89,4.04
2014,1,14,8,137.9,2.97,100.37,0.66,3.94
2014,1,14,9,131.1,3.24,100.42,0.78,3.95
2014,1,14,10,126.6,3.19,100.45,1.09,4.01
2014,1,14,11,126.3,3.18,100.46,1.53,4.12
2014,1,14,12,122.0,3.05,100.45,1.95,4.24
2014,1,14,13,115.4,3.12,100.43,2.28,4.35
2014,1,14,14,109.9,3.41,100.44,2.26,4.39
2014,1,14,15,104.4,3.94,100.46,1.91,4.35
2014,1,14,16,100.5,4.49,100.47,1.72,4.34
2014,1,14,17,97.3,5.02,100.48,1.87,4.39
2014,1,14,18,98.0,5.36,100.5,1.96,4.43
2014,1,14,19,103.0,5.43,100.51,2.01,4.45
2014,1,14,20,110.9,5.45,100.53,2.15,4.49
2014,1,14,21,119.2,5.54,100.55,2.25,4.51
2014,1,14,22,124.9,5.74,100.55,2.32,4.52
2014,1,14,23,127.4,6.11,100.54,2.45,4.53
2014,1,15,0,128.4,6.41,100.51,2.55,4.51
2014,1,15,1,128.9,6.67,100.5,2.41,4.45
2014,1,15,2,129.7,6.85,100.48,2.3,4.39
2014,1,15,3,129.3,6.92,100.46,2.22,4.35
2014,1,15,4,126.7,7.01,100.43,2.1,4.32
2014,1,15,5,124.8,7.17,100.42,1.96,4.27
2014,1,15,6,124.1,7.34,100.42,1.83,4.23
2014,1,15,7,124.2,7.51,100.44,1.78,4.21
2014,1,15,8,124.9,7.63,100.47,1.83,4.21
2014,1,15,9,125.7,7.67,100.5,1.99,4.25
2014,1,15,10,127.5,7.65,100.5,2.23,4.3
2014,1,15,11,129.5,7.66,100.5,2.54,4.38
2014,1,15,12,133.1,8.05,100.46,2.87,4.43
2014,1,15,13,135.7,8.55,100.41,3.06,4.41
2014,1,15,14,135.2,8.55,100.39,2.91,4.35
2014,1,15,15,133.9,8.83,100.38,2.44,4.26
2014,1,15,16,134.3,9.55,100.36,2.01,4.18
2014,1,15,17,134.0,9.22,100.35,1.61,4.14
2014,1,15,18,132.6,9.04,100.35,1.51,4.12
2014,1,15,19,131.4,9.0,100.35,1.5,4.11
2014,1,15,20,133.3,9.06,100.34,1.46,4.1
2014,1,15,21,131.8,9.13,100.33,1.51,4.11
2014,1,15,22,127.6,9.22,100.31,1.6,4.13
2014,1,15,23,126.3,9.4,100.28,1.64,4.13
2014,1,16,0,124.8,9.46,100.24,1.58,4.1
2014,1,16,1,124.0,9.66,100.19,1.41,4.06
2014,1,16,2,122.2,9.67,100.15,1.17,4.01
2014,1,16,3,121.1,9.76,100.1,1.02,3.97
2014,1,16,4,119.9,9.93,100.07,0.92,3.95
2014,1,16,5,118.5,10.21,100.05,0.85,3.93
2014,1,16,6,117.6,10.21,100.05,0.75,3.91
2014,1,16,7,117.0,10.34,100.06,0.67,3.9
2014,1,16,8,116.9,10.53,100.07,0.61,3.88
2014,1,16,9,116.9,10.74,100.08,0.69,3.89
2014,1,16,10,116.6,10.9,100.06,0.97,3.95
2014,1,16,11,117.0,11.36,100.03,1.33,4.02
2014,1,16,12,117.5,11.48,99.97,1.6,4.08
2014,1,16,13,119.4,12.69,99.91,1.74,4.07
2014,1,16,14,119.5,13.04,99.88,1.68,4.04
2014,1,16,15,117.6,13.26,99.85,1.46,3.99
2014,1,16,16,115.7,13.57,99.82,1.19,3.93
2014,1,16,17,115.1,13.94,99.79,1.02,3.89
2014,1,16,18,114.7,14.34,99.77,0.91,3.86
2014,1,16,19,114.5,14.84,99.75,0.84,3.83
2014,1,16,20,114.1,15.12,99.74,0.77,3.81
2014,1,16,21,113.7,15.55,99.72,0.78,3.79
2014,1,16,22,113.5,15.88,99.68,0.71,3.76
2014,1,16,23,113.4,15.96,99.64,0.61,3.74
2014,1,17,0,114.0,15.94,99.6,0.6,3.72
2014,1,17,1,115.8,15.59,99.59,0.67,3.72
2014,1,17,2,117.7,15.08,99.58,0.66,3.72
2014,1,17,3,118.0,14.24,99.55,0.65,3.74
2014,1,17,4,117.7,13.17,99.53,0.59,3.75
2014,1,17,5,117.7,12.33,99.53,0.51,3.75
2014,1,17,6,116.5,11.57,99.56,0.47,3.77
2014,1,17,7,115.6,10.99,99.6,0.46,3.8
2014,1,17,8,115.4,10.86,99.65,0.5,3.83
2014,1,17,9,114.0,10.65,99.69,0.58,3.86
2014,1,17,10,112.4,10.77,99.7,0.77,3.89
2014,1,17,11,110.9,10.39,99.69,0.91,3.92
2014,1,17,12,109.3,10.67,99.67,1.0,3.91
2014,1,17,13,109.1,10.67,99.67,0.82,3.87
2014,1,17,14,109.9,10.75,99.67,0.62,3.83
2014,1,17,15,111.6,11.04,99.71,0.54,3.8
2014,1,17,16,112.1,11.15,99.75,0.44,3.77
2014,1,17,17,112.0,11.23,99.79,0.38,3.74
2014,1,17,18,110.9,11.5,99.83,0.38,3.73
2014,1,17,19,110.1,11.79,99.87,0.41,3.73
2014,1,17,20,109.7,12.04,99.91,0.42,3.72
2014,1,17,21,107.0,11.63,99.94,0.36,3.7
2014,1,17,22,105.2,12.0,99.97,0.32,3.67
2014,1,17,23,105.3,12.31,99.98,0.32,3.67
2014,1,18,0,106.6,12.39,100.0,0.36,3.68
2014,1,18,1,108.6,12.17,100.01,0.39,3.69
2014,1,18,2,111.8,12.3,100.02,0.47,3.71
2014,1,18,3,112.8,12.09,100.05,0.52,3.75
2014,1,18,4,112.8,12.03,100.08,0.53,3.76
2014,1,18,5,111.3,11.87,100.12,0.53,3.76
2014,1,18,6,108.4,11.82,100.15,0.47,3.74
2014,1,18,7,106.1,12.05,100.21,0.43,3.72
2014,1,18,8,105.6,12.22,100.27,0.4,3.71
2014,1,18,9,105.0,12.39,100.33,0.43,3.7
2014,1,18,10,104.6,12.4,100.37,0.51,3.72
2014,1,18,11,103.9,12.3,100.4,0.56,3.74
2014,1,18,12,102.3,12.01,100.41,0.58,3.75
2014,1,18,13,100.2,11.85,100.42,0.56,3.75
2014,1,18,14,98.6,11.94,100.44,0.51,3.74
2014,1,18,15,98.9,12.16,100.46,0.44,3.73
2014,1,18,16,99.3,12.21,100.49,0.39,3.72
2014,1,18,17,99.2,12.29,100.52,0.38,3.72
2014,1,18,18,98.4,12.31,100.54,0.36,3.71
2014,1,18,19,99.9,12.78,100.56,0.43,3.73
2014,1,18,20,102.2,12.81,100.59,0.59,3.77
2014,1,18,21,104.7,12.85,100.62,0.72,3.8
2014,1,18,22,107.0,12.96,100.65,0.83,3.82
2014,1,18,23,108.6,13.04,100.66,0.9,3.83
2014,1,19,0,109.1,13.06,100.68,0.9,3.83
2014,1,19,1,109.0,13.03,100.69,0.9,3.83
2014,1,19,2,108.7,13.07,100.71,0.9,3.82
2014,1,19,3,109.0,13.13,100.72,0.89,3.82
2014,1,19,4,108.7,13.16,100.74,0.92,3.82
2014,1,19,5,107.9,13.27,100.76,0.91,3.79
2014,1,19,6,106.9,13.59,100.79,0.8,3.72
2014,1,19,7,105.5,13.95,100.82,0.62,3.63
2014,1,19,8,104.2,14.28,100.86,0.44,3.55
2014,1,19,9,103.7,14.54,100.9,0.48,3.52
2014,1,19,10,103.7,14.6,100.92,0.67,3.53
2014,1,19,11,103.7,14.64,100.92,0.84,3.54
2014,1,19,12,102.6,14.68,100.9,0.91,3.54
2014,1,19,13,101.0,14.87,100.85,0.86,3.53
2014,1,19,14,99.5,14.85,100.82,0.68,3.49
2014,1,19,15,98.7,14.9,100.82,0.31,3.41
2014,1,19,16,98.5,15.03,100.83,-0.17,3.3
2014,1,19,17,98.8,15.07,100.85,-0.49,3.22
2014,1,19,18,99.2,15.0,100.85,-0.64,3.16
2014,1,19,19,99.9,14.99,100.86,-0.71,3.12
2014,1,19,20,100.2,14.86,100.86,-0.72,3.12
2014,1,19,21,100.0,14.68,100.87,-0.62,3.14
2014,1,19,22,99.9,14.51,100.86,-0.45,3.17
2014,1,19,23,100.4,14.36,100.85,-0.29,3.19
